feature,group,rows,errors,error_rate,mean_confidence
diet_type,<MISSING>,1369,95,0.06939371804236669,0.9197285952438112
diet_type,balanced,45254,2674,0.059088699341494674,0.927245104544992
diet_type,non-veg,44871,2665,0.05939248066680038,0.92697079238514
diet_type,veg,46524,2714,0.05833548276158542,0.9277533307776692
stress_level,<MISSING>,16393,4062,0.24778869029463796,0.8584639951992854
stress_level,high,35590,2733,0.0767912334925541,0.9309795908979571
stress_level,low,33596,1055,0.03140254792237171,0.946931972591986
stress_level,medium,52439,298,0.005682793340834112,0.9336194498297298
sleep_quality,<MISSING>,11598,682,0.058803241938265215,0.916930392611048
sleep_quality,average,42995,2594,0.060332596813582974,0.9273526002772856
sleep_quality,good,41019,1999,0.04873351373753626,0.9262399836157045
sleep_quality,poor,42406,2873,0.0677498467198038,0.9309540905490811
physical_activity_level,<MISSING>,7368,683,0.09269815418023887,0.8906665353471162
physical_activity_level,active,42463,3855,0.09078491863504698,0.9184330973394665
physical_activity_level,moderate,44256,1854,0.041892624728850324,0.9301508082901743
physical_activity_level,sedentary,43931,1756,0.03997177391818989,0.93899412664698
smoking_alcohol,<MISSING>,5662,296,0.05227834687389615,0.9201364875577344
smoking_alcohol,no,43813,2371,0.05411635815853742,0.9243499654806532
smoking_alcohol,occasional,43802,2803,0.063992511757454,0.9249396520087109
smoking_alcohol,yes,44741,2678,0.059855613419458664,0.9332602384108634
gender,<MISSING>,4273,257,0.06014509712146033,0.917905792984029
gender,female,44810,2650,0.05913858513724615,0.9273579067380978
gender,male,47714,2799,0.058662027916334826,0.9271374949119524
gender,other,41221,2442,0.05924164867421945,0.9282405353484373
