feature,is_error,rows,mean,median,missing_rate
sleep_duration,False,129870,7.006282315085313,6.99,0.09066759066759067
sleep_duration,True,8148,6.586668828361436,6.07,0.4322533136966127
heart_rate,False,129870,75.0733892335027,75.1,0.011904211904211905
heart_rate,True,8148,75.01712796326176,74.9,0.011168384879725086
bmi,False,129870,22.981391203849302,23.0,0.02062062062062062
bmi,True,8148,23.133033441477416,23.07,0.01644575355915562
calorie_expenditure,False,129870,2222.9774078279456,2240.0,0.07772387772387772
calorie_expenditure,True,8148,2272.6477166821996,2270.0,0.0781786941580756
step_count,False,129870,8563.493182657625,8772.0,0.02018172018172018
step_count,True,8148,9581.358791070981,10048.5,0.021354933726067747
exercise_duration,False,129870,38.50361101819511,39.1,0.010156310156310156
exercise_duration,True,8148,42.183917296025754,43.1,0.008713794796269023
water_intake,False,129870,2.188613488165826,2.17,0.0624008624008624
water_intake,True,8148,2.1852774869109943,2.18,0.062346588119784
