model,feature,importance,rank
CatBoost,stress_level,0.2536873386907999,1
CatBoost,sleep_duration,0.14189892929404077,2
CatBoost,physical_activity_level,0.10185000528964701,3
CatBoost,sleep_distance_8h,0.09844030456208552,4
CatBoost,bmi,0.09131693838015048,5
CatBoost,bmi_distance_normal,0.050805646067421245,6
CatBoost,exercise_duration,0.03384975128726629,7
CatBoost,smoking_alcohol,0.029111868652082623,8
CatBoost,water_intake,0.026140232221675233,9
CatBoost,heart_rate,0.025981998457038608,10
CatBoost,calories_per_step,0.025617626291210564,11
CatBoost,step_count,0.025002501320586897,12
CatBoost,sleep_quality,0.023643393386117883,13
CatBoost,calorie_expenditure,0.018152980752470793,14
CatBoost,steps_per_exercise_min,0.018016732224051646,15
CatBoost,missing_count,0.013527296041906596,16
CatBoost,water_per_calorie,0.013026338224441854,17
CatBoost,gender,0.009575902123606823,18
CatBoost,diet_type,0.00035421673339945626,19
LightGBM,heart_rate,0.0901747311827957,1
LightGBM,exercise_duration,0.07871863799283155,2
LightGBM,water_intake,0.07726254480286739,3
LightGBM,bmi,0.07535394265232975,4
LightGBM,bmi_distance_normal,0.07404121863799283,5
LightGBM,calorie_expenditure,0.07314516129032259,6
LightGBM,sleep_duration,0.07092293906810036,7
LightGBM,steps_per_exercise_min,0.06869175627240143,8
LightGBM,step_count,0.0671415770609319,9
LightGBM,sleep_distance_8h,0.06302867383512545,10
LightGBM,water_per_calorie,0.06055555555555556,11
LightGBM,calories_per_step,0.060528673835125446,12
LightGBM,missing_count,0.026120071684587815,13
LightGBM,stress_level,0.02061379928315412,14
LightGBM,smoking_alcohol,0.017876344086021505,15
LightGBM,sleep_quality,0.016406810035842295,16
LightGBM,diet_type,0.013848566308243727,17
LightGBM,gender,0.013413978494623656,18
LightGBM,physical_activity_level,0.013297491039426523,19
LightGBM,missingindicator_sleep_duration,0.004081541218637992,20
LightGBM,missingindicator_water_per_calorie,0.0028763440860215053,21
LightGBM,missingindicator_bmi,0.0021057347670250894,22
LightGBM,missingindicator_water_intake,0.0017473118279569893,23
LightGBM,missingindicator_steps_per_exercise_min,0.001689068100358423,24
LightGBM,missingindicator_heart_rate,0.0015591397849462367,25
LightGBM,missingindicator_calories_per_step,0.0012992831541218637,26
LightGBM,missingindicator_calorie_expenditure,0.0012813620071684588,27
LightGBM,missingindicator_sleep_distance_8h,0.0009408602150537635,28
LightGBM,missingindicator_bmi_distance_normal,0.0004345878136200717,29
LightGBM,missingindicator_exercise_duration,0.0004345878136200717,29
LightGBM,missingindicator_step_count,0.0004077060931899642,31
XGBoost,stress_level,0.24133006817087835,1
XGBoost,physical_activity_level,0.204394155937172,2
XGBoost,missingindicator_sleep_distance_8h,0.12193757840711975,3
XGBoost,missingindicator_sleep_duration,0.11107086886782358,4
XGBoost,sleep_duration,0.10847766437281658,5
XGBoost,missing_count,0.036023357630820166,6
XGBoost,sleep_distance_8h,0.02931933049795019,7
XGBoost,missingindicator_water_per_calorie,0.017720213952074078,8
XGBoost,missingindicator_steps_per_exercise_min,0.010444814806199736,9
XGBoost,smoking_alcohol,0.009831269711163776,10
XGBoost,bmi,0.00922084454689225,11
XGBoost,missingindicator_bmi,0.008970419345963866,12
XGBoost,sleep_quality,0.008306658266782386,13
XGBoost,missingindicator_bmi_distance_normal,0.008206096844647683,14
XGBoost,missingindicator_heart_rate,0.007824641070871401,15
XGBoost,missingindicator_calories_per_step,0.007371516762145613,16
XGBoost,exercise_duration,0.006758001003772066,17
XGBoost,step_count,0.006190122381901251,18
XGBoost,missingindicator_water_intake,0.004788482775769358,19
XGBoost,missingindicator_exercise_duration,0.004154812730318877,20
XGBoost,missingindicator_step_count,0.004041909420873646,21
XGBoost,calories_per_step,0.003968385691272573,22
XGBoost,bmi_distance_normal,0.0038527445261662243,23
XGBoost,missingindicator_calorie_expenditure,0.0037984314210011702,24
XGBoost,water_intake,0.0034428405717540043,25
XGBoost,steps_per_exercise_min,0.003314397678795353,26
XGBoost,calorie_expenditure,0.00327217779780229,27
XGBoost,heart_rate,0.003202107179631614,28
XGBoost,water_per_calorie,0.0031326884872923113,29
XGBoost,diet_type,0.0028250621497658856,30
XGBoost,gender,0.0028083369925619808,31
