subset,model,rows,balanced_accuracy,accuracy,errors
all,baseline_catboost,138018,0.9499152949926414,0.9381457491051892,8537
all,two_stage_catboost,138018,0.949558678906509,0.9387036473503456,8460
stress_missing,baseline_catboost,16393,0.8597207199099629,0.7390349539437565,4278
stress_missing,two_stage_catboost,16393,0.8590562238665389,0.7412310132373574,4242
sleep_missing,baseline_catboost,15297,0.859207616792322,0.754069425377525,3762
sleep_missing,two_stage_catboost,15297,0.8573270735766526,0.7613257501470877,3651
both_missing,baseline_catboost,1797,0.6636009806715909,0.49081803005008345,915
both_missing,two_stage_catboost,1797,0.6718306116293632,0.531997774067891,841
neither_missing,baseline_catboost,108125,0.9715501314039526,0.9869410404624277,1412
neither_missing,two_stage_catboost,108125,0.9715653430945422,0.9869780346820809,1408
