fold,variant,rows,training_rows,balanced_accuracy,n_iter
0,source_prior_features,138018,552070,0.9505159923848568,81
0,source_augmented,138018,602070,0.9502992021463568,85
1,source_prior_features,138018,552070,0.9522260819541529,78
1,source_augmented,138018,602070,0.9514610703151044,87
2,source_prior_features,138018,552070,0.9496987156833866,84
2,source_augmented,138018,602070,0.9492120373044085,80
3,source_prior_features,138017,552071,0.9497142375553005,83
3,source_augmented,138017,602071,0.9492632011918989,93
4,source_prior_features,138017,552071,0.9483735110507433,88
4,source_augmented,138017,602071,0.9481660740042376,87
