beta,balanced_accuracy
0.0,0.8894809541295133
0.01,0.8904639441033826
0.02,0.8916520622091971
0.03,0.8929144992414005
0.04,0.8942293704906298
0.05,0.8954484674322952
0.06,0.8967019265469212
0.07,0.8981799478360152
0.08,0.8994528288626314
0.09,0.900610332390262
0.1,0.9020019445537959
0.11,0.9031127355300059
0.12,0.9044048929022267
0.13,0.9058730387407653
0.14,0.9070469520038088
0.15,0.9081869388804468
0.16,0.9093422391114427
0.17,0.9105262856269757
0.18,0.9116318766581134
0.19,0.9126130357501853
0.2,0.9136853758390062
0.21,0.9149123448029224
0.22,0.9159943217050174
0.23,0.9171500455920357
0.24,0.9183465779623886
0.25,0.9194293917448003
0.26,0.9206299234979959
0.27,0.9217198374928629
0.28,0.9226881955703309
0.29,0.9237784203071212
0.3,0.9248788956283608
0.31,0.9258281789273584
0.32,0.9269003531620911
0.33,0.9278304366379867
0.34,0.9288666386525447
0.35,0.9295556261941812
0.36,0.930333419567976
0.37,0.9311464716274561
0.38,0.9320121463203108
0.39,0.9328629208831015
0.4,0.933596342177274
0.41,0.9343576745744707
0.42,0.9350719853771271
0.43,0.935701461051543
0.44,0.9364028457949645
0.45,0.9370118368488748
0.46,0.9376054902873628
0.47,0.9380573262970878
0.48,0.9387168513006411
0.49,0.93942744750251
0.5,0.9400042415896944
0.51,0.940528498977482
0.52,0.9411417506137773
0.53,0.9417420051064482
0.54,0.9421971920350481
0.55,0.942591854950547
0.56,0.9430498275489754
0.57,0.9435089130768514
0.58,0.9439308413504629
0.59,0.9442897619501442
0.6,0.9446531932214728
0.61,0.9449419921054322
0.62,0.9452969871257165
0.63,0.9456841400020736
0.64,0.9459965728582799
0.65,0.9461732416595048
0.66,0.9463115603569078
0.67,0.9466295595591556
0.68,0.9468866110922799
0.69,0.9470056319020707
0.7,0.947207522502198
0.71,0.9474584131855543
0.72,0.947709002538463
0.73,0.9479022833207859
0.74,0.9480540046734358
0.75,0.9481919266949372
0.76,0.9484079317859968
0.77,0.9485110326071716
0.78,0.9486339685646312
0.79,0.9488160499883418
0.8,0.9490023451711123
0.81,0.9491808795469275
0.82,0.9492128576167794
0.83,0.9492709985470248
0.84,0.949387149451813
0.85,0.9494511630521631
0.86,0.949549002255352
0.87,0.9496436519758934
0.88,0.9497165288809182
0.89,0.949743558793764
0.9,0.9498384603023721
0.91,0.9498720521587476
0.92,0.9499499284619638
0.93,0.94996295849678
0.94,0.950045897569905
0.95,0.9501386123302712
0.96,0.9501616064686775
0.97,0.9501510389228439
0.98,0.9501538696143966
0.99,0.9502190099735303
1.0,0.9502429528860997
1.01,0.950221875255079
1.02,0.9501952990675945
1.03,0.9501489588282145
1.04,0.950107756860993
1.05,0.9500802908532027
1.06,0.950094699434869
1.07,0.9500856823038415
1.08,0.9500688409941412
1.09,0.9500788986415842
1.1,0.9500621207036014
1.11,0.9500166069128099
1.12,0.9499358438478085
1.13,0.9499148174579731
1.14,0.9498559296908596
1.15,0.9498252543572181
1.16,0.9497927421279114
1.17,0.9497553285649235
1.18,0.9497531764066776
1.19,0.9496707544306316
1.2,0.9496147939263705
1.21,0.9495856056358175
1.22,0.9495081075557131
1.23,0.9494490071111864
1.24,0.9493895689446153
1.25,0.9493277192218567
1.26,0.9492835206061976
1.27,0.9492167227264332
1.28,0.9491492355732437
1.29,0.9490557123030957
1.3,0.9490242738925833
1.31,0.9489494000460793
1.32,0.9488702265065375
1.33,0.9487714052268069
1.34,0.9486957561729
1.35,0.9486218580806803
1.36,0.9484946976240424
1.37,0.9483972245134331
1.38,0.9483124890457101
1.39,0.9481860404247576
1.4,0.9480923270394571
1.41,0.9480055133197306
1.42,0.9478643408545312
1.43,0.9477731293772563
1.44,0.9476564668752735
1.45,0.9474951067021561
1.46,0.9473870314557171
1.47,0.9472568456717166
1.48,0.9471304708542103
1.49,0.9470211316738242
1.5,0.9468730942358432
1.51,0.94667720705593
1.52,0.9464911814972358
1.53,0.9463260780444056
1.54,0.9461565889645595
1.55,0.9459828861256533
1.56,0.9457762821970074
1.57,0.9455609417071217
1.58,0.9453544115819216
1.59,0.9451271945905311
1.6,0.9448883137750487
1.61,0.9446239064326084
1.62,0.9443572368396764
1.63,0.9440795293243601
1.64,0.9438051170688727
1.65,0.9434875046170678
1.66,0.9431074062118648
1.67,0.9427537284689897
1.68,0.9423215500144018
1.69,0.941887716963833
1.7,0.9414956196287538
1.71,0.9409827971399282
1.72,0.9404616877057537
1.73,0.9398746233887959
1.74,0.9392362195370635
1.75,0.9385805265613404
1.76,0.9379765255892288
1.77,0.937191025361007
1.78,0.9363219659662271
1.79,0.9354277707065232
1.8,0.934481282720021
1.81,0.9335249478590915
1.82,0.9324519131871267
1.83,0.9313387713329883
1.84,0.9301179631416411
1.85,0.9287455540188215
1.86,0.9272289366717116
1.87,0.9256758633714979
1.88,0.9240759550914927
1.89,0.9223561932308502
1.9,0.9204743489296763
1.91,0.9184626748137431
1.92,0.9162942145680573
1.93,0.9141173840593049
1.94,0.911777908580031
1.95,0.9094027055317319
1.96,0.9067287209402967
1.97,0.9040445847463787
1.98,0.901184480846803
1.99,0.8980525560341484
2.0,0.8949550583621787
